layer,final_loss,greedy_strict,greedy_lenient,sc8_accuracy,mean_internal_tokens
0,0.16601257026195526,0.395,0.445,0.54,2397.5
1,0.16668112576007843,0.425,0.43,0.52,2367.5
2,0.15889526903629303,0.415,0.42,0.55,2365.4
3,0.16004787385463715,0.455,0.465,0.545,2414.0
4,0.15143148601055145,0.42,0.425,0.545,2365.9
5,0.14109362661838531,0.435,0.435,0.48,2412.9
6,0.14917683601379395,0.415,0.415,0.555,2384.6
7,0.14440684020519257,0.42,0.42,0.535,2373.6
8,0.14197970926761627,0.41,0.41,0.51,2383.3
9,0.15273891389369965,0.425,0.425,0.53,2419.9
10,0.14626309275627136,0.39,0.39,0.515,2361.0
11,0.1442452371120453,0.43,0.43,0.555,2373.3
12,0.13994969427585602,0.43,0.43,0.525,2419.3
13,0.14709271490573883,0.435,0.445,0.535,2392.8
14,0.14029473066329956,0.4,0.405,0.56,2413.9
15,0.14686135947704315,0.435,0.435,0.53,2413.5
16,0.1362941712141037,0.425,0.425,0.555,2342.1
17,0.15190479159355164,0.42,0.425,0.565,2425.2
18,0.1373620182275772,0.44,0.445,0.545,2430.3
19,0.1454494446516037,0.455,0.465,0.545,2403.6
20,0.1223774254322052,0.465,0.465,0.555,2380.5
21,0.15294229984283447,0.45,0.465,0.56,2482.6
22,0.15350762009620667,0.465,0.475,0.565,2444.6
23,0.15635041892528534,0.47,0.49,0.535,2437.7
24,0.161151722073555,0.425,0.435,0.545,2491.2
